Movie Title,Gross,Production Budget,ROI,,,,,,,,,,,
A Walk To Remember,41281092,11800000,0.924118694915254,0.3358552,1.209935,-0.1797584,-0.6691893,-0.2568138,-0.7107452,-0.03197801,-0.4356696,-0.8336097,0.02520795,-1.174624
Bruce Almighty,242829261,81000000,0.648840661111111,0.1513975,0.03967002,0.09847343,-0.8141793,0.04583765,-0.002231495,-0.07741666,0.3783751,-0.9012069,0.0620719,-0.3221937
Collateral Damage,40077257,85000000,-0.740676572352941,0.02359578,-0.2366587,-0.1017874,-0.21733,0.1894577,0.1456757,0.895068,-0.2389648,-0.08075445,-0.8976182,-0.6920994
Final Destination,46961214,26000000,-0.006589703846154,-0.1507997,0.4487,0.3293668,-0.1160691,0.2769119,0.166277,-0.4778977,0.4814462,-0.1886088,-0.05438242,-0.1666079
Gladiator,187705427,103000000,0.002310532524272,-0.1034683,1.22382,-2.139985,0.7270374,-0.4261358,2.5103,-0.4403279,0.08689355,-0.2709296,0.2958559,-0.03613779
The Grudge,110359362,10000000,5.06976491,-0.2407937,0.0740839,0.2002174,0.06716744,0.233131,0.5478486,0.1644692,1.084981,0.1798903,0.1468523,0.04286172
Harold and Kumar Go To Whitecastle,18250550,9000000,0.115311388888889,0.2612532,0.006501237,-0.6263089,0.3790523,-0.7936035,-0.02416855,-0.4563348,0.5162767,-0.3039641,-0.07351838,-0.2535162
Hotel Rwanda,23530892,17500000,-0.26045768,0.1900183,-0.7849287,-0.2638128,-0.1319958,0.08902188,-0.7094609,0.4769905,-0.4112865,-0.5738973,0.2408021,-0.9842304
Insomnia,67355513,46000000,-0.194662344565217,-0.08210254,0.4412215,0.907061,-0.7690459,0.3529343,0.3722875,-0.04799569,0.3382228,-0.1583506,1.10707,-0.7139742
"I, Robot",144801023,120000000,-0.336328644583333,0.1281061,-0.312779,-0.6508883,0.3980911,-0.7976069,-0.2930125,-0.09880215,-0.5660757,1.828426,-1.661928,0.6292163
Land of the Dead,20700082,15000000,-0.240996993333333,0.007796847,0.1818205,-0.06055723,-1.703239,0.8272153,-0.5490007,0.07376713,0.1003512,-0.2397588,0.564051,-0.4126196
Legally Blonde,96520674,18000000,1.94924281666667,-0.190447,-0.3857222,0.02637176,-0.367187,0.8104162,-0.3290199,0.2653227,0.4802815,-0.1553936,0.03328366,0.4288902
Manchurian Candidate,65955630,80000000,-0.54655504375,0.07506953,-0.07889935,0.5229775,-0.5705315,-0.4181468,0.7007312,0.03264215,0.08518376,-0.5445504,-0.1392607,-0.9348473
Lord of the Rings Fellowship,315544750,93000000,0.866124865591398,-0.004283755,-0.07160564,-0.7191154,-0.3447514,-0.1585218,-0.1244189,0.1910478,0.3554962,-0.1451793,0.121297,0.3335099
The Matrix Reloaded,281576461,150000000,0.032447023666667,0.07965147,0.3748587,-0.2931637,0.05396944,0.4228072,-0.04726035,-0.3334759,0.04403206,-0.2486171,-0.1041766,-0.1418222
Rush Hour 2,226164286,90000000,0.382115081111111,-0.1113955,0.01220582,0.4092778,-0.3651885,0.6981666,0.2656648,-0.003054779,0.3170135,-0.2294126,-0.4781487,0.5474362
The Shawshank Redemption,28341469,25000000,-0.376487682,0.01553697,-0.8428504,0.08599748,0.1612044,0.2446559,-0.3464238,0.09683813,0.08338549,0.4609387,-0.8220903,0.1447478
Swordfish,69772969,102000000,-0.623773206372549,0.04555732,-0.6012846,0.562226,-1.386503,1.254315,-0.5148517,0.4197756,-0.1709988,-0.7501581,-0.4304459,-1.038892
Titanic,600788188,200000000,0.652167517,-0.1508608,0.1180175,0.4143939,-0.2442658,0.4239435,-0.287481,0.3984447,0.1177903,0.4106095,-0.3603921,0.791347
