Movie Title,Gross,Production Budget,ROI,,,,,,,,,,,,,,,,,,,,,,
A Walk To Remember,41281092,11800000,0.924118694915254,0.435975,-0.04353695,1.877286,-1.142191,-0.08161564,-0.7095882,-0.7795936,-0.07120334,-0.9321261,-0.5692645,-0.106883,-1.278057,0.5428774,-0.6268587,-0.681349,-0.417594,-1.297672,-0.06079446,-0.6949317,-0.594427,-0.7798621,-0.8026599
Bruce Almighty,242829261,81000000,0.648840661111111,-0.2016305,0.2340097,0.9643008,-0.4720291,0.567516,-0.5525649,0.1226073,0.58591,0.1006361,0.3527275,0.5296062,0.2227815,0.1975715,0.7238211,0.8260387,-0.6149385,0.000924996,0.6134741,-1.36519,1.860495,-1.642143,1.448348
Collateral Damage,40077257,85000000,-0.740676572352941,-0.1430348,0.3760436,0.3767445,0.326481,0.1039292,0.4946808,-0.183625,0.1975776,-0.4158407,0.5312004,-0.9715245,-0.01810098,-0.7819182,0.1759675,0.1655596,0.1865785,0.1418193,0.7199128,0.8402235,0.5581795,1.002651,0.4719508
Final Destination,46961214,26000000,-0.006589703846154,-0.2334366,0.0826261,0.9477498,0.3382692,-0.03655882,0.3008853,0.2344412,0.04411347,0.6979963,-0.2380727,0.2900915,-0.05316572,-0.4284037,0.2520251,0.6229779,-0.01681281,-0.1721006,0.4149302,-0.1524471,-0.215022,0.1450433,0.03784992
Gladiator,187705427,103000000,0.002310532524272,-0.07017241,0.06301271,1.870447,-1.981132,-0.6223077,0.2507389,0.07516873,-0.1116792,1.210502,1.671373,0.772625,1.373649,-0.9139575,0.2871752,-0.4834804,0.284195,-0.306654,-0.1679027,0.01260289,0.296593,-0.1881701,-0.01705261
The Grudge,110359362,10000000,5.06976491,-0.1481266,-0.143009,0.2954241,-0.1128857,0.1184386,-0.06679634,0.253151,0.06798481,0.2572665,0.5273736,0.2164815,0.133996,0.4077601,0.5659299,1.135308,-0.1005207,0.5465902,0.3658449,-0.3652798,0.3066382,-0.1401442,-0.1713838
Harold and Kumar Go To Whitecastle,18250550,9000000,0.115311388888889,0.2334375,-0.231919,0.100182,-0.4166156,-0.03783298,-0.4439653,0.7121609,-1.71972,0.7745236,-1.079928,0.3443311,-0.5571024,0.2147217,-0.2668108,0.3363177,0.3228308,0.1660812,-0.8523199,0.6480193,-0.6855383,0.2003162,-0.1859753
Hotel Rwanda,23530892,17500000,-0.26045768,0.6231459,0.6452064,-2.305802,-0.1602855,-0.9411992,-0.2090585,-0.8325941,-0.5630516,-0.3051599,-1.403912,-0.2798905,-0.8970358,0.0626431,-0.7622077,-0.7460817,-0.8008723,-1.427674,0.3156719,-1.386407,-0.3483145,-1.103046,-1.425325
Insomnia,67355513,46000000,-0.194662344565217,-0.2237352,0.1686934,1.502814,0.03771945,0.6004767,-0.4214293,0.2777835,0.0484334,0.8387043,0.4673648,0.4587378,-0.4263812,0.6564548,0.6268277,-0.2077257,0.4991519,0.1157543,0.3881758,0.9409048,0.1577572,-0.08092542,-0.1557388
"I, Robot",144801023,120000000,-0.336328644583333,-0.2010778,-0.04753117,-0.1204947,1.025143,0.08167822,-0.5602199,0.5659229,-0.08340184,1.40373,-0.5773513,0.4861291,-0.1674808,0.8271471,-0.2803135,0.2324686,0.7094259,1.570637,0.9836374,0.267458,-0.3260803,-0.4209646,0.0638596
Land of the Dead,20700082,15000000,-0.240996993333333,-0.02458481,0.3629207,-1.142293,2.123541,-3.263556,0.761079,-0.4933683,0.614185,-0.4786688,0.08200434,-0.002452755,-0.2603618,0.03282395,0.1419628,0.1351748,0.08249379,-0.5122612,0.5433208,0.2320528,-0.08302802,0.1365347,-0.2443969
Legally Blonde,96520674,18000000,1.94924281666667,0.2131482,0.4979856,-0.3394631,0.3179405,0.1195343,-0.2866035,-0.09392702,-0.7528626,-0.2064754,-0.001100681,0.07201613,-0.09456509,-0.2770367,-0.4669588,-0.3709753,0.05916806,-0.468386,0.4420209,-0.3407972,-0.0007401649,-0.4273367,-0.2396908
Manchurian Candidate,65955630,80000000,-0.54655504375,0.204393,-0.1507992,0.01122409,-0.04852153,0.08422681,-0.9829522,-0.2963711,-0.4567234,0.02606626,0.5124087,0.4106791,-0.6052413,0.5402511,-0.0551482,-0.1847246,-0.9273373,0.06041873,-0.1780746,-0.9995376,-0.06738539,-1.149417,-0.5262098
Titanic,600788188,200000000,0.652167517,-0.01680562,-0.09606255,0.3348746,-0.1654311,0.1660594,-0.3231749,0.2214724,-0.2585945,0.3080289,-0.3380357,-0.2071616,0.09733039,-0.119096,0.7086021,-0.297023,-0.1359616,0.7103202,-0.5049318,0.1915698,-0.3484098,0.7584145,-0.1179963
