Movie Title,Gross,Production Budget,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Walk To Remember,41281092,11800000,0.924118694915254,0.1398631,-0.2609428,2.158029,1.016942,-0.218522,0.3101034,-0.764845,0.6149734,-1.000399,0.5862505,-1.485844,0.3103543,-0.1511866,0.03304193,-0.4822424,-0.3282475,-0.3712484,0.1931907,-0.5102368,0.2088108,-0.539768,-0.9209521,0.8311335,0.204246,0.05543481,-0.430746,0.2299377,-0.9245238,0.06145864,-0.4396679,-0.4859821,-0.4908427,-0.7805761,-0.1196713,0.1458006,-0.2297478,-0.2310774,-0.69778,-0.1367483,-0.2124934,-0.7256553,-0.592437,0.4482923,NA
Bruce Almighty,242829261,81000000,0.648840661111111,0.04026319,0.1500207,-0.01460068,0.3566219,0.1601208,-0.7235398,0.2522242,-0.2077006,-0.2491206,-0.6906942,-0.4328849,0.0392833,0.3882121,-0.2824099,0.5083523,-0.1118765,-0.2782919,-0.09445869,0.5480168,-0.0635336,-0.05463272,0.5288304,-0.7093319,0.349007,0.7106793,-0.3033892,1.47562,-1.062769,1.63271,-2.092502,0.2277657,-0.490847,0.09746968,-0.6002124,1.434071,-3.326893,1.417556,-0.7721089,1.658832,-1.838726,0.6246828,-0.2081486,0.1955697,NA
Collateral Damage,40077257,85000000,-0.740676572352941,-0.1405956,0.4590666,0.2417203,0.317573,0.4872807,0.1251671,0.06064699,0.4573888,0.2454027,0.3406002,-0.04716711,-0.07445107,0.2059202,0.004255635,-0.3396388,0.03785165,-0.187776,-0.4498099,-0.6001913,-0.3358453,-0.4053759,-0.6159896,0.0704638,-0.8467981,-0.2299583,0.1147631,0.3443852,0.1516089,0.1842171,-0.4574422,1.176666,-0.2756608,0.1768658,0.9007572,0.3809634,1.421192,-0.01322185,1.324032,0.09429919,1.404725,0.271343,1.016958,0.02559469,NA
Final Destination,46961214,26000000,-0.006589703846154,-0.234496,0.1940095,-0.3733191,1.796928,-0.2062787,0.4397785,0.2389903,-0.01733512,-0.03165965,0.330484,0.7921415,-0.4512678,0.3693931,0.1143276,0.6481338,0.137161,0.3958537,-0.4029537,0.3875756,0.3491079,-0.5393045,0.4231574,-0.6241739,-0.07548947,-0.175457,0.541271,0.1466691,0.8339091,-0.08913678,0.4250681,-0.2856034,-0.1985381,0.4933568,-0.4358812,1.069935,-0.8942663,0.5769247,-0.6418187,0.2983236,-0.5806798,0.7060415,-0.508391,0.3040773,NA
Gladiator,187705427,103000000,0.002310532524272,-0.00698258,0.01938715,1.193824,0.1579426,-0.1481932,-1.651685,-1.530882,0.2787146,-0.03594082,-0.2295115,0.09331686,-0.0277727,0.08003838,0.3211341,-0.04778286,1.203401,1.617898,0.8835812,0.3968217,1.846152,0.9179113,0.3090628,-0.4566527,-0.08731556,-0.3812724,0.00429232,-0.4439843,-0.03022454,-0.3687572,0.1684076,-0.06348631,-0.4111668,-0.1103422,-0.2349059,-0.4497745,0.2710685,-0.2664394,0.2969946,-0.05512976,0.2168187,-0.5836421,0.5265256,-0.6645765,NA
The Grudge,110359362,10000000,5.06976491,-0.201084,-0.0229927,-0.1399747,0.4027168,0.09266994,-0.09755382,0.2540339,0.07807624,-0.08795049,0.2725758,0.06463278,0.3691953,0.02680102,0.3128605,0.1582231,0.4176004,0.192086,0.125691,0.3034119,0.4543952,0.1558704,0.1849222,0.4300964,0.5506894,0.4476313,0.8576968,0.7163552,1.34994,0.08617959,0.3967519,0.3827436,0.1105429,1.406083,-1.126463,1.491057,-0.3125976,-0.4346838,0.2601046,0.1174082,0.488078,-0.5597993,0.2516013,-0.05625672,NA
Harold and Kumar Go To Whitecastle,18250550,9000000,0.115311388888889,0.08844626,-0.08137501,0.1556836,-0.1005564,0.1442278,-0.2325649,-0.08448797,0.03582569,-0.04552993,0.1348148,-0.5961963,2.63511,-3.479581,0.3749226,0.4307108,-0.2149674,-0.3648466,-0.03096401,0.1031496,-0.3679342,0.4236529,-0.3782371,-0.06565555,0.6086795,-0.2661067,0.03952001,0.345148,0.4855435,0.9893663,-1.855387,3.623639,-1.684549,0.2548714,-0.4208403,0.01751434,0.2695848,0.31334,-0.1222941,-0.2857271,0.264009,-0.1272303,0.03834588,0.3853449,NA
Hotel Rwanda,23530892,17500000,-0.26045768,0.3365145,1.366034,-1.561076,-0.5725876,-0.8311062,-0.2999178,-0.1938565,-0.6610968,0.1016574,-0.251512,-0.3092159,-0.6364402,0.1038811,-0.8058828,0.2646301,-0.4403202,-0.4890932,-0.674103,-0.4963166,0.2702981,-1.031867,0.3316467,-0.4996412,0.3705849,-0.185987,-0.4774443,-0.4272263,-0.5855735,-0.1929478,-1.037588,-0.2340576,-1.457401,-0.02244599,-0.06829864,0.01652962,-0.6873425,-0.4993139,-0.5514749,-0.6068431,0.147383,-1.380995,-0.964932,0.1080672,NA
Insomnia,67355513,46000000,-0.194662344565217,-0.1324195,0.2407008,0.02929921,1.856807,-0.2164587,0.5945036,0.194888,0.06608392,0.0528121,-0.9700544,1.242711,-1.461963,1.371432,-0.6907999,0.6847261,0.694324,0.4033118,0.2536213,0.8889999,-0.4508788,-0.6186189,0.8879483,-0.7718506,1.254342,-0.1025644,0.8793699,-0.110471,-0.4236302,0.5787811,0.1101092,0.04710291,0.1759992,0.1649588,0.4921978,0.1329546,0.8285733,0.3812135,0.9940013,-0.9984734,1.116858,-1.272297,0.80135,-0.7713112,NA
"I, Robot",144801023,120000000,-0.336328644583333,-0.1382014,-0.3009436,0.7119058,-1.038694,1.409206,0.1685642,0.06671416,-0.1943873,0.3903775,-1.542657,1.057811,0.0251745,0.1342366,-0.3533502,1.809558,-0.1112708,0.84606,-0.09135735,0.5978103,-0.5517151,0.3978197,0.1320902,0.1592056,0.7693552,-0.21191,-0.01661797,-0.4115882,1.367725,-1.119796,1.317307,1.457659,0.7823514,1.378457,1.081449,0.5693901,0.6540428,-0.2197406,0.03075855,-0.5852235,-0.1334269,-0.7136057,0.3080251,-0.3318419,NA
