Movie Title,Gross,Production Budget,ROI,,,,,,,,
A Walk To Remember,41281092,11800000,0.924118694915254,-0.4185139,7.66485,-0.03435101,1.65486,-0.1188076,-1.505291,-0.4944863,0.2095757
Bruce Almighty,242829261,81000000,0.648840661111111,-0.01010215,1.473995,0.03847049,1.368045,0.7614236,-3.667898,-0.02154999,
Collateral Damage,40077257,85000000,-0.740676572352941,-0.2611997,-1.355142,0.4464428,-0.9827541,1.561246,4.46476,0.9745313,1.29072
Final Destination,46961214,26000000,-0.006589703846154,-0.5170898,NA,NA,1.775012,1.164923,-0.3372207,-2.03345,2.242966
Gladiator,187705427,103000000,0.002310532524272,0.9328876,-62.87794,-7.787175,-2.329237,-1.355099,-3.805842,-3.094161,-3.413828
The Grudge,110359362,10000000,5.06976491,0.4565873,-1.808561,-0.8571693,0.06235956,1.767949,-0.4745587,-3.431782,
Harold and Kumar Go To Whitecastle,18250550,9000000,0.115311388888889,0.3431752,0.1029119,-0.7352241,-2.049085,1.37038,-0.5160939,1.041341,3.282462
Hotel Rwanda,23530892,17500000,-0.26045768,-0.1823158,-4.39894,-1.162248,0.4252061,0.3191062,2.018155,-2.020549,2.134533
Insomnia,67355513,46000000,-0.194662344565217,0.3868623,61.62012,2.935421,0.1568816,-3.716213,1.400223,-1.440685,-0.8761849
"I, Robot",144801023,120000000,-0.336328644583333,-0.147721,0.0156817,-1.924141,0.3059763,-0.3441884,-1.683102,0.8488872,9.475898
Land of the Dead,20700082,15000000,-0.240996993333333,-0.03117815,-0.4249144,-9.851301,-1.16809,-0.1126327,-0.924069,-0.4643678,-1.568519
Legally Blonde,96520674,18000000,1.94924281666667,-0.3593792,-12950.43,-1.690187,1.614983,2.134439,2.344733,0.1721152,-0.9305288
Manchurian Candidate,65955630,80000000,-0.54655504375,-0.3165567,2.795951,2.046994,-0.3013871,-2.890052,4.537886,2.754163,-0.4956573
Lord of the Rings Fellowship,315544750,93000000,0.866124865591398,-0.04222559,2.963822,-3.201711,-3.0853,-1.753913,3.529173,-0.2503572,0.08850992
The Matrix Reloaded,281576461,150000000,0.032447023666667,0.1424162,3.230478,1.469389,-2.108558,0.6971064,0.1686531,-2.117676,1.539336
Rush Hour 2,226164286,90000000,0.382115081111111,0.034936,2.942021,0.2485958,0.7264538,1.275505,1.010773,-0.755171,-4.359689
The Shawshank Redemption,28341469,25000000,-0.376487682,0.0601115,-21.48881,-3.19299,1.049736,0.6508319,-0.7464408,1.125002,0.6532533
Swordfish,69772969,102000000,-0.623773206372549,-0.6151442,-67.17162,-3.595304,1.533483,5.233296,-0.166855,0.4683558,-1.202178
Titanic,600788188,200000000,0.652167517,0.2374102,-5.297769,0.4277678,0.000466581,-2.070222,-3.047445,-1.546368,-2.339202
