Movie Title,Gross,Production Budget,ROI,Clear premise,Familiar setting,Early exposition,Coincidence avoidance,Interconnected,Surprise,Anticipation,Flashback avoidance,Linear timeline,Clear motivation,Multidimensional hero,Strong nemesis,Sympathetic hero,Logical characters,Character growth,Important conflict,Multidimensional conflict,Conflict build-up,Conflict lock-in,Unambiguous resolution,Logical ending,Surprise ending
A Walk to Remember,41281092,11800000,0.924118694915254,4,4,3,4,4,4,2,3,3,3,3,2,2,4,3,4,2,3,4,4,4,4
A Walk to Remember,41281092,11800000,0.924118694915254,3,3,3,3,3,2,2,3,3,3,2,2,3,4,3,2,2,4,3,2,4,2
A Walk to Remember,41281092,11800000,0.924118694915254,3,3,3,4,4,3,3,2,3,4,2,2,4,4,4,4,3,3,4,4,4,2
A Walk to Remember,41281092,11800000,0.924118694915254,3,3,2,2,3,3,3,3,4,3,4,2,3,4,4,3,2,2,2,1,3,2
A Walk to Remember,41281092,11800000,0.924118694915254,4,4,4,3,4,3,3,4,4,2,3,2,2,4,4,4,2,2,3,3,4,2
A Walk to Remember,41281092,11800000,0.924118694915254,2,3,2,3,4,2,2,4,4,3,3,2,3,4,3,2,2,2,4,1,3,2
A Walk to Remember,41281092,11800000,0.924118694915254,3,4,2,3,4,4,2,4,4,2,4,2,3,3,4,3,3,4,1,4,4,1
A Walk to Remember,41281092,11800000,0.924118694915254,4,3,4,3,3,2,2,4,4,2,3,1,3,3,4,2,3,2,2,2,4,1
A Walk to Remember,41281092,11800000,0.924118694915254,4,3,2,2,4,3,2,4,4,4,2,2,4,4,2,3,2,3,3,3,4,2
A Walk to Remember,41281092,11800000,0.924118694915254,4,4,4,1,3,4,3,4,4,3,3,1,3,3,4,2,2,3,2,2,2,4
Shawshank Redemption,28341469,25000000,-0.376487682,3,4,4,2,4,4,3,3,2,3,2,3,3,4,4,3,4,3,3,3,4,4
Shawshank Redemption,28341469,25000000,-0.376487682,3,2,3,2,4,3,4,3,3,4,4,2,4,3,4,4,1,4,4,3,3,3
Shawshank Redemption,28341469,25000000,-0.376487682,4,3,4,4,4,3,3,3,4,4,4,3,4,4,3,3,3,3,4,4,4,3
Shawshank Redemption,28341469,25000000,-0.376487682,4,4,4,2,4,3,2,4,4,3,3,2,4,3,3,3,2,3,3,2,3,2
Shawshank Redemption,28341469,25000000,-0.376487682,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
Shawshank Redemption,28341469,25000000,-0.376487682,2,1,2,4,3,2,2,3,3,2,3,2,3,3,3,2,2,2,2,3,3,3
Shawshank Redemption,28341469,25000000,-0.376487682,4,1,4,1,4,3,3,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3
