,Action,Comedy,Drama,Horror,Thriller
Parsed_13days_g2.txt,0,0,1,0,0
Parsed_5thelement_g2.txt,1,0,0,0,0
Parsed_Ace-Ventura-Pet-Detective_g2.txt,0,1,0,0,0
Parsed_AFew-Good-Men_g2.txt,0,0,1,0,0
Parsed_American-Gangster_g2.txt,0,0,0,0,1
Parsed_American-Pie_g2.txt,0,1,0,0,0
Parsed_Assassins_g2.txt,1,0,0,0,0
Parsed_awalktoremember_g2.txt,0,0,1,0,0
Parsed_Babel_g2.txt,0,0,1,0,0
Parsed_Batman-and-Robin_g2.txt,1,0,0,0,0
Parsed_Blade-Runner_g2.txt,0,0,0,0,1
Parsed_bones_g2.txt,0,0,1,0,0
"Parsed_Bourne-Identity,-The_g2.txt",1,0,0,0,0
Parsed_brazil_g2.txt,0,0,1,0,0
Parsed_Bruce-Almighty_g2.txt,0,1,0,0,0
Parsed_Charlie's-Angels_g2.txt,1,0,0,0,0
Parsed_Collateral-Damage_g2.txt,0,0,0,0,1
Parsed_Dances-with-Wolves_g2.txt,0,0,1,0,0
Parsed_Day-of-the-Dead_g2.txt,0,0,0,1,0
"Parsed_Deer-Hunter,-The_g2.txt",0,0,1,0,0
Parsed_demolition-man_production_g2.txt,1,0,0,0,0
Parsed_Devil-in-a-Blue-Dress_g2.txt,0,0,0,0,1
Parsed_Disturbia_g2.txt,0,0,0,0,1
Parsed_Drop-Dead-Gorgeous_g2.txt,0,1,0,0,0
Parsed_Dumb-and-Dumber_g2.txt,0,1,0,0,0
Parsed_eight-millimeter_g2.txt,0,0,0,0,1
Parsed_Enemy-of-the-State_g2.txt,1,0,0,0,0
"Parsed_English-Patient,-The_g2.txt",0,0,1,0,0
Parsed_Eternal-Sunshine-of-the-Spotless-Mind_g2.txt,0,1,0,0,0
Parsed_Excalibur_g2.txt,1,0,0,0,0
Parsed_Fantastic-Four_g2.txt,1,0,0,0,0
Parsed_Fight-Club_g2.txt,0,0,1,0,0
Parsed_Final-Destination-2_g2.txt,0,0,0,1,0
Parsed_Frozen-River_g2.txt,0,0,1,0,0
Parsed_game_6_g2.txt,0,1,0,0,0
Parsed_Gattaca_g2.txt,0,0,1,0,0
Parsed_Gladiator_g2.txt,1,0,0,0,0
Parsed_Gone-in-60-Seconds_g2.txt,1,0,0,0,0
Parsed_Gran-Torino_g2.txt,0,0,1,0,0
"Parsed_Green-Mile,-The_g2.txt",0,0,1,0,0
Parsed_Gremlins-2_g2.txt,0,1,0,0,0
Parsed_Groundhog-Day_g2.txt,0,1,0,0,0
"Parsed_Grudge,-The_g2.txt",0,0,0,1,0
Parsed_Harold-and-Kumar-Go-to-White-Castle_g2.txt,0,1,0,0,0
"Parsed_Haunting,-The_g2.txt",0,0,0,1,0
Parsed_Heat_g2.txt,0,0,1,0,0
Parsed_Heavenly-Creatures_g2.txt,0,0,1,0,0
Parsed_Hellboy_g2.txt,1,0,0,0,0
"Parsed_Hitchhiker's-Guide-to-the-Galaxy,-The_g2.txt",0,1,0,0,0
"Parsed_Horse-Whisperer,-The_g2.txt",0,0,1,0,0
Parsed_hotel_rwanda_g2.txt,0,0,1,0,0
Parsed_Hudson-Hawk_g2.txt,1,0,0,0,0
Parsed_IAmLegend_g2.txt,0,0,0,1,0
"Parsed_Ice-Storm,-The_g2.txt",0,0,1,0,0
Parsed_Independence-Day_g2.txt,1,0,0,0,0
"Parsed_Insider,-The_g2.txt",0,0,1,0,0
Parsed_insomnia_g2.txt,0,0,0,0,1
Parsed_interview_with_the_vampire_g2.txt,0,0,0,1,0
Parsed_IRobot_g2.txt,1,0,0,0,0
"Parsed_Island,-The_g2.txt",1,0,0,0,0
Parsed_IStill-Know-What-You-Did-Last-Summer_g2.txt,0,0,0,1,0
Parsed_Juno_g2.txt,0,0,1,0,0
Parsed_Kalifornia_g2.txt,0,0,0,0,1
Parsed_knockedup_PDF.txt,0,1,0,0,0
Parsed_Labyrinth_g2.txt,1,0,0,0,0
"Parsed_Ladykillers,-The_g2.txt",0,1,0,0,0
Parsed_lake-placid_g2.txt,0,0,0,0,1
Parsed_Land-of-the-Dead_g2.txt,0,0,0,1,0
"Parsed_Last-Samurai,-The_g2.txt",1,0,0,0,0
Parsed_Leaving-Las-Vegas_g2.txt,0,0,1,0,0
Parsed_Legally-Blonde_g2.txt,0,1,0,0,0
Parsed_Liar-Liar_g2.txt,0,1,0,0,0
Parsed_littlenicky_g2.txt,0,1,0,0,0
Parsed_Living-in-Oblivion_g2.txt,0,1,0,0,0
Parsed_Lone-Star_g2.txt,0,0,1,0,0
Parsed_Lord-of-Illusions_g2.txt,0,0,0,1,0
"Parsed_Lord-of-the-Rings-Fellowship-of-the-Ring,-The_g2.txt",1,0,0,0,0
Parsed_Lord-of-the-Rings-Return-of-the-King_g2.txt,1,0,0,0,0
Parsed_Lost-in-Translation_g2.txt,0,0,1,0,0
Parsed_magnolia_g2.txt,0,0,1,0,0
"Parsed_Manchurian-Candidate,-The_g2.txt",0,0,0,0,1
Parsed_ManintheIronMask_g2.txt,1,0,0,0,0
Parsed_ManOnFire_g2.txt,0,0,0,0,1
"Parsed_Matrix-Reloaded,-The_g2.txt",1,0,0,0,0
Parsed_Men-in-Black_g2.txt,1,0,0,0,0
Parsed_mighty_joe_young_g1.txt,0,0,1,0,0
Parsed_Mimic_g2.txt,0,0,0,1,0
Parsed_MINORITY_REPORT_--_May_16th_2001_revised_draft_by_Scott_Frank_g2.txt,1,0,0,0,0
Parsed_Mission-Impossible_g2.txt,1,0,0,0,0
Parsed_Monkeybone_g2.txt,0,1,0,0,0
Parsed_Mulholland-Drive_g2.txt,0,0,1,0,0
"Parsed_Mummy,-The_g2.txt",1,0,0,0,0
Parsed_Mystery-Men_g2.txt,0,1,0,0,0
Parsed_neverbeenkissed_g2.txt,0,1,0,0,0
Parsed_New-York-Minute_g2.txt,0,1,0,0,0
Parsed_Nick-of-Time_g2.txt,0,0,0,0,1
Parsed_Notting-Hill_g2.txt,0,1,0,0,0
Parsed_oceans_11_g1.txt,0,0,0,0,1
Parsed_Ordinary-People_g2.txt,0,0,1,0,0
"Parsed_Other-Boleyn-Girl,-The_g2.txt",0,0,1,0,0
Parsed_Outbreak_g2.txt,0,0,0,0,1
"Parsed_Pacifier,-The_g2.txt",0,1,0,0,0
"Parsed_Patriot,-The_g2.txt",0,0,1,0,0
Parsed_Pearl-Harbor_g2.txt,1,0,0,0,0
"Parsed_Pianist,-The_g2.txt",0,0,1,0,0
Parsed_Pineapple-Express_g2.txt,0,1,0,0,0
Parsed_Pitch-Black_g2.txt,0,0,0,1,0
Parsed_Predator_g2.txt,1,0,0,0,0
Parsed_Queen-of-the-Damned_g2.txt,0,0,0,1,0
Parsed_Rambling-Rose_g2.txt,0,0,1,0,0
Parsed_Reindeer-Games_g2.txt,1,0,0,0,0
Parsed_Robin-Hood-Prince-of-Thieves_g2.txt,1,0,0,0,0
Parsed_rush_hour_2_g2.txt,0,1,0,0,0
Parsed_Save-the-Last-Dance_g2.txt,0,0,1,0,0
Parsed_Se7en_g2.txt,0,0,0,0,1
Parsed_Sense-and-Sensibility_g2.txt,0,0,1,0,0
"Parsed_Shawshank-Redemption,-The_g2.txt",0,0,1,0,0
Parsed_silenceofthelambs_g2.txt,0,0,0,0,1
Parsed_Sister-Act_g2.txt,0,1,0,0,0
Parsed_Sleepy-Hollow_g2.txt,0,0,0,1,0
Parsed_sling_blade_g2.txt,0,0,1,0,0
Parsed_Solaris_g2.txt,0,0,1,0,0
Parsed_soldier_g2.txt,1,0,0,0,0
Parsed_Spanglish_g2.txt,0,1,0,0,0
Parsed_Sphere_g2.txt,0,0,0,1,0
Parsed_Spider-Man_g2.txt,1,0,0,0,0
Parsed_Star-Wars-Return-of-the-Jedi_g2.txt,1,0,0,0,0
Parsed_Supergirl_g2.txt,1,0,0,0,0
Parsed_Suspect-Zero_g2.txt,0,0,0,0,1
Parsed_Swordfish_g2.txt,0,0,0,0,1
Parsed_Taking-Lives_g2.txt,0,0,0,0,1
Parsed_Terminator_g2.txt,1,0,0,0,0
Parsed_TheBodyGuard_PDF.txt,0,0,0,0,1
Parsed_Theres-Something-About-Mary_g2.txt,0,1,0,0,0
Parsed_thering_g2.txt,0,0,0,1,0
Parsed_They_g2.txt,0,0,0,1,0
Parsed_Three-Kings_g2.txt,1,0,0,0,0
Parsed_Three-Men-and-a-Baby_g2.txt,0,1,0,0,0
Parsed_Tin-Cup_g2.txt,0,1,0,0,0
Parsed_Titanic_g2.txt,0,0,1,0,0
Parsed_Tomorrow-Never-Dies_g2.txt,1,0,0,0,0
Parsed_toy_story_g2.txt,1,0,0,0,0
Parsed_Troy_g2.txt,1,0,0,0,0
Parsed_unforgiven_g2.txt,1,0,0,0,0
Parsed_Virtuosity_g1.txt,1,0,0,0,0
Parsed_What-Lies-Beneath_g2.txt,0,0,0,0,1
Parsed_Wild-Wild-West_g2.txt,1,0,0,0,0
Parsed_Yes-Man_g2.txt,0,1,0,0,0
Parsed_You-Can-Count-On-Me_g2.txt,0,0,1,0,0
Parsed_You've-Got-Mail_g2.txt,0,0,1,0,0
