Movie Title,Year,Genre,Rating,Gross,Production Budget,orig ROI,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5th Element,1997,Action,,63820180,95000000,-0.630514747368421,-1.43641131205823,0.5974098,-0.7668366,-0.187518,-0.9342838,0.02792881,0.02228169,1.22078,-0.6136717,-0.2656359,-0.08918515,-1.040693,-0.6545211,-0.8403488,-0.6647498,-0.7234307,-0.3590435,-1.040303,0.1960828,-0.7002498,-0.8687722,-0.9254181,-0.6598209,-1.60088,0.4717871,-1.242394,-0.2686172,-1.235143,-0.4036542,-0.5537882,-0.7669084,-1.459838,0.1129738,-0.7823052,-0.6077109,-0.3413739,-0.9325209,-0.2540688,-1.748072,0.6311417,-0.7221424,0.4123506,0.1125622,0.06117397,-0.5577271
Ace Ventura Pet Detective,1994,Comedy,,72217396,15000000,1.64797118666667,1.40488742385235,-0.2829129,-1.028642,-0.5413347,-0.7218107,-1.142789,0.5509967,-0.5563829,1.373502,-1.040945,0.7242814,0.7334373,-0.1010274,0.9651271,-0.4771228,0.6576597,0.9573969,-0.3894904,-0.2183732,-0.4277551,1.128841,0.07978793,0.5794063,0.5963693,-0.6357112,0.5550181,-0.008441829,0.1938401,-0.4788147,0.02409258,-0.7950971,0.548233,1.195675,-1.326909,1.158661,0.08653036,0.6267431,-0.07645894,0.3167731,-0.5799418,0.4042572,-0.02754751,0.05956301,0.1905642,0.1098638
American Gangster,2007,Thriller,,130164645,100000000,-0.2840944525,-0.482158835808507,0.15963,-0.8429422,0.5115461,-0.8267053,-0.6812628,-1.057744,-0.05729457,-0.5606404,-0.4632941,-0.1689695,-0.3679724,-0.4377244,-0.1419243,-0.8890657,0.02763694,-0.382262,-0.8306159,-0.9852401,-0.3038578,-0.3885027,0.07673188,-0.4547343,-0.79275,-1.202365,0.03819984,-0.5860774,0.007555771,-0.8736422,-0.525465,-0.2271641,0.5676684,-1.219206,0.06294911,-0.5186061,-0.4288428,-0.7848075,-0.687118,-0.5605033,-1.494621,0.02373349,-0.957589,-0.760807,0.08183857,-1.278782
Assassins,1995,Action,,30303072,50000000,-0.666666208,-1.58496051557415,-0.5055496,0.9911304,0.3315217,0.2860374,-0.5561174,0.5295004,-0.1895912,0.3068429,-0.5344484,0.0872843,0.1926359,0.4145614,-0.05160403,0.3811328,-0.08346181,0.04510591,-0.1213147,0.1534945,-0.2690268,-0.003245529,0.5041535,-0.3504822,-0.5139269,0.4525897,0.2043222,0.884241,0.3074257,-0.1832969,1.109893,-0.7899,0.9188337,-0.3781977,1.301366,-0.8530257,1.13751,-0.2099561,0.4923283,0.6155512,0.5399026,0.2598148,-0.1541884,0.8780209,-0.6587437,0.2917663
AWalk to Remember,2002,Drama,,41281092,11800000,0.924118694915254,0.944197798735693,0.1084862,-0.5081115,-0.07211027,-1.115484,-0.587761,-1.041067,0.3897886,-2.333159,-1.379777,-0.3295031,-0.8929068,0.727825,-0.6662318,0.1169105,-0.1791277,0.08714977,-0.8667456,0.08417215,-0.7838017,0.2810403,-0.8535924,-0.2801519,-0.7492618,-1.050934,0.2641416,-0.5289883,-0.5914937,0.50017,-1.631528,0.8360316,-0.3311161,-2.171869,-0.1044082,-0.1240081,-0.1752517,0.334412,-0.5792417,-0.3291005,-1.216583,0.03178902,0.3076841,-1.01706,0.07490271,-0.8243746
Babel,2006,Drama,,34302837,20000000,-0.0566719825,-0.084168577502864,-0.04180124,-0.2714416,-1.385427,-0.3637608,-1.087715,1.033222,0.5526092,0.09566585,0.02369511,0.3554755,-1.544729,0.601411,0.5768919,-0.01849734,-0.08193215,0.1133992,0.451395,0.1564905,0.1712768,-0.032259,0.09595796,-1.554313,0.3779106,0.6503095,0.5906831,0.05426992,0.1284771,0.07367713,0.1715112,-1.043829,-0.04973328,0.919424,-0.03931095,0.5878903,0.1650671,-0.1886591,0.5306926,0.7315196,0.2785509,0.3565025,0.07559229,0.3338289,0.1614767,-0.1816615
Batman and Robin,1997,Action,,107325195,125000000,-0.527769142,-1.08243577710522,-0.2918464,-0.1464943,0.4033124,-0.6674133,-0.3542999,0.07505144,-0.7239916,0.4210803,0.6896076,0.9954596,-0.2620667,0.9294782,0.7104449,0.8515629,-0.1278126,0.9264185,-1.95702,0.8063059,-1.349832,-0.1484513,-1.544327,1.187161,0.1767482,0.6548811,0.8050516,0.7770043,-0.2418655,-0.1238368,1.142258,0.1997332,0.6593974,-0.2416662,-0.3087397,-0.4528721,-0.6988781,-0.7353733,-0.6428644,0.2528634,-1.165789,0.0527574,-0.7294603,0.141121,-1.084984,1.662173
Bones,2001,Drama,,7316658,16000000,-0.74848988125,-1.9913116512113,0.1923803,0.1856276,1.170391,-0.8482273,0.3723296,0.0134593,-0.0928642,0.006733984,-0.3071594,0.05743021,-0.8066017,-0.6036998,-0.1794227,0.4040526,-0.2069527,0.7145641,-0.7894914,1.168321,-0.3265422,0.2695195,-0.0527275,-0.107725,-0.1427925,0.2081074,-0.2085,-0.4796112,-0.1840424,-0.214155,0.5815893,-0.639297,1.24634,-1.582807,0.4559963,-1.043604,-0.2559094,-0.66047,0.04813321,-0.4578686,0.05758517,-0.4038868,-0.3169551,0.3706144,-0.381105,0.5733938
Bourne Identity,2002,Action,,121661683,60000000,0.115232094166667,0.157343984816861,-0.1493668,0.4164868,-1.040919,1.852945,-0.580424,0.4354537,0.7298148,0.5641289,-0.1029756,0.01982079,0.3507794,-0.3921464,0.8264408,0.6304173,0.6558544,1.09355,0.5001174,-0.02303062,0.4816429,1.143388,0.3604531,0.317802,0.175899,0.3069796,0.3740762,0.4675292,-0.01177404,0.9479105,-1.843397,0.8466864,-0.3250817,0.8274251,-0.2858063,0.2878258,-0.302423,0.5948117,1.016148,0.8845189,0.809571,0.8808433,1.178892,-0.3520262,0.9671556,-0.4792248
Brazil,1985,Drama,,9929135,15000000,-0.635931716666667,-1.45771903240977,0.2152114,-0.03520665,-0.1304315,-0.215254,0.07205204,-0.008379935,-0.2639758,0.02724714,-0.5908894,-0.3628208,0.2198486,-0.4574983,0.5036739,-0.4279192,-0.5693352,0.1883298,-0.2439366,-0.0917161,-0.2747657,0.07038352,-0.3878094,0.3762159,0.06501801,0.2643712,0.0983402,-0.1399251,0.2692011,-0.1262307,0.5115157,-0.3043922,0.2956252,-0.7478272,0.5115318,-1.281936,0.1503572,-0.1541108,-0.07875543,-0.139702,-0.2565283,-0.01457749,-0.120541,0.1310361,0.2950347,-0.304729
