Movie Title,Gross,Production Budget,ROI,Clear premise,Familiar setting,Early exposition,Coincidence avoidance,Interconnected,Surprise,Anticipation,Flashback avoidance,Linear timeline,Clear motivation,Multidimensional hero,Strong nemesis,Sympathetic hero,Logical characters,Character growth,Important conflict,Multidimensional conflict,Conflict build-up,Conflict lock-in,Unambiguous resolution,Logical ending,Surprise ending
Final Destination 2,46961214,26000000,-0.006589703846154,3,3,3,2,3,3,2,3,2,3,3,2,2,3,2,3,3,3,3,2,3,4
Final Destination 2,46961214,26000000,-0.006589703846154,4,3,4,2,4,3,4,2,3,4,4,4,3,4,4,3,3,4,3,3,4,3
Final Destination 2,46961214,26000000,-0.006589703846154,1,3,3,1,2,4,4,4,3,1,1,3,2,2,2,4,2,2,3,2,2,4
Final Destination 2,46961214,26000000,-0.006589703846154,4,4,3,4,4,4,4,3,3,4,1,4,2,2,2,4,3,2,4,3,3,2
Final Destination 2,46961214,26000000,-0.006589703846154,2,3,1,1,4,4,3,3,3,3,1,1,3,3,1,3,4,3,4,1,1,3
Final Destination 2,46961214,26000000,-0.006589703846154,3,3,4,1,4,3,4,2,3,3,2,1,3,3,3,4,1,3,4,2,3,4
Final Destination 2,46961214,26000000,-0.006589703846154,3,4,3,2,3,3,4,2,3,4,3,3,4,3,3,3,3,4,3,3,3,2
Final Destination 2,46961214,26000000,-0.006589703846154,4,4,4,1,4,2,4,2,3,4,2,4,4,3,2,4,4,4,4,1,3,4
Final Destination 2,46961214,26000000,-0.006589703846154,4,4,4,3,4,4,4,1,1,4,3,3,4,3,3,4,4,4,4,4,3,4
Final Destination 2,46961214,26000000,-0.006589703846154,4,3,4,1,2,2,4,3,3,3,2,1,3,2,2,2,2,4,4,2,1,3
Land of the Dead,20700082,15000000,-0.240996993333333,2,3,3,2,2,2,2,2,1,2,3,3,2,2,2,2,2,3,2,4,3,2
Land of the Dead,20700082,15000000,-0.240996993333333,2,4,4,1,2,4,3,3,2,2,3,4,2,3,4,2,3,3,2,3,3,2
