Movie Title,Year,Genre,Gross,Production Budget,ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5th Element,1997,Action,63820180,95000000,-0.630514747368421,-0.419832,0.617458,1.268241,1.927753,-0.1754579,0.1987897,-0.179646,0.8320329,-0.2824998,0.5082472,0.3199323,0.9929899,0.3399263,-0.3992016,0.763764,0.1760893,0.6732076,0.04494584,0.6617231,0.3839839,0.3578462,-0.7014685,-1.81163,1.23198,-0.8239208,1.037112,0.2416249,0.5033888,0.03494578,0.3252119,0.2282954,-0.01161637,0.3594096,0.1900441,0.186972,0.2472944,0.3599525,-0.5838909,0.2302128,0.5752407,-0.01731587,0.2392327,0.2528381,0.6014338
Ace Ventura Pet Detective,1994,Comedy,72217396,15000000,1.64797118666667,-0.01394219,-0.4270173,0.4459395,-0.6748395,0.3044723,-0.02492575,-0.549741,0.654001,0.2286405,-0.3259418,0.4633101,0.6322095,-0.08528814,0.6819167,0.1130421,0.4319543,-0.1838985,0.7722884,-0.2825716,0.5535484,-0.131959,0.9049135,-0.5515719,0.02771678,-0.4077333,-0.7209799,0.4839545,-0.02967648,-0.1188426,0.9699218,-1.513429,1.050233,0.7260267,-0.0316489,0.2633875,-0.330116,0.2996545,-0.3735864,-1.434151,0.9937393,-1.485732,0.3340662,0.02494318,-0.3849282
American Gangster,2007,Thriller,130164645,100000000,-0.2840944525,0.1911888,0.8634227,-0.3798909,-0.6295384,-0.398721,0.4812111,-0.7647579,0.02599521,0.5013985,-0.5692326,-0.1604883,-0.05163111,-0.5214465,0.05639375,0.1718635,0.2237104,-0.5526253,0.1683294,-0.2702324,-2.124482,0.3867711,0.2928834,-1.367146,0.02960445,0.03247482,0.250416,-0.3747537,0.481757,-0.6784499,0.7928935,-0.7738677,1.070468,-0.7245392,0.03702165,-0.9830361,-0.04925441,0.04083933,-0.4987005,0.4755073,-1.120442,-0.03228064,-0.02757363,-0.7225574,-0.2099796
Assassins,1995,Action,30303072,50000000,-0.666666208,0.0265878,-0.1740246,0.9511578,-2.165663,-0.5939225,-0.3399386,-0.7455686,0.3117877,-1.344,0.4197103,-1.139625,1.900449,-0.6934372,0.2460143,-0.007466795,1.111371,-0.09717745,0.2579214,-0.05015967,0.2941695,-0.1903144,1.897443,-1.266828,1.159235,-0.03844631,-0.2415558,0.2555791,0.3206982,0.03416583,0.303982,-0.5827108,0.3557506,-0.04249436,-0.06732436,-0.004178712,-0.4718589,0.4770889,-0.360809,0.3652031,-0.5850862,0.685177,-0.4882664,0.2561411,-0.5139602
AWalk to Remember,2002,Drama,41281092,11800000,0.924118694915254,0.1408702,0.505074,2.641346,0.03400029,0.2672467,-0.1282589,-0.4466697,0.4069329,-0.906362,0.5348784,-1.605883,0.5953302,-0.3453931,0.1197786,-0.5936458,-0.233244,-0.4807732,-0.2945475,0.09751594,-0.469073,0.2235308,-0.6644945,-0.8083713,0.9145464,0.1020256,0.06483508,-0.4354659,0.2204165,-0.956758,0.1203407,-0.502991,-0.4536017,-0.5238853,-0.7612692,-0.09794013,0.1340931,-0.2250561,-0.2584523,-0.6768308,-0.1479179,-0.2062313,-0.7406516,-0.5764505,0.4409474
Babel,2006,Drama,34302837,20000000,-0.0566719825,0.9370782,-1.185359,-0.9658064,-1.300185,-0.9490087,-1.459097,-1.011076,-1.630571,0.08541134,0.001323598,-1.368416,-1.419287,-1.587058,-1.020564,-1.719232,-0.9707236,-1.281412,-0.7254737,-1.189808,0.7886144,-1.351379,-1.023071,-1.140047,-1.405658,-1.477793,-0.6514807,-1.667637,-0.2308503,0.5112491,-2.003526,-0.6552689,-1.523265,-1.791632,-1.279454,-1.367114,0.2403474,-1.892457,-0.6334271,-1.591379,-0.9301925,-1.247529,-1.205967,-0.4106786,-0.02694361
Batman and Robin,1997,Action,107325195,125000000,-0.527769142,-1.172727,0.3477338,0.3739863,1.558364,0.9640579,1.486455,1.017971,1.216771,0.2695085,1.71388,0.4762336,1.793084,-0.4921887,1.60787,0.4664055,1.744946,0.3137299,1.562962,-0.01064481,0.9906688,0.7766335,1.246913,1.118548,1.058403,1.128688,0.7192154,1.148858,0.8423605,1.497582,0.8752822,1.654586,1.081315,1.440652,0.8502668,1.087605,1.118287,0.8840713,1.833747,2.587918,1.82048,1.221532,2.078742,2.514998,0.6489499
Bones,2001,Drama,7316658,16000000,-0.74848988125,-0.2060162,-0.0200767,0.6102192,-0.3683444,-0.1231944,-0.2168748,-0.10251,0.2278488,0.5628835,-0.07962214,-0.04429939,0.1379896,-0.04777917,0.9677439,-1.317138,-1.011062,1.264263,-1.024115,0.3016617,-0.1847477,-0.5751034,0.467255,0.6151839,0.8994107,0.3971441,0.200372,-0.06906913,0.8093261,-0.8988066,0.4844002,-0.04503561,0.9008882,-0.08106774,0.3494893,0.7398753,0.0931136,0.4455111,0.4406538,-0.5859538,0.6855369,-0.3635173,0.1164113,0.9570369,0.3726233
Bourne Identity,2002,Action,121661683,60000000,0.115232094166667,0.2572208,-0.03743914,0.4725085,-0.7267478,0.04578808,0.09366659,-0.2253998,0.05760705,-1.040692,0.3797853,-0.1028034,-1.266054,0.08067747,-0.6374536,-0.1651307,-0.4993362,0.01781092,-0.803483,-1.01928,-0.327973,-0.04187029,-0.5868362,-0.374293,-0.5640873,-0.08771245,0.3039341,-2.312471,3.032335,-5.365902,-1.172039,0.5976451,-1.444936,-1.239098,-0.1376486,-1.080841,0.1094561,-0.3909109,-0.1815064,-0.1909712,-0.5639406,-0.1241095,-1.00154,-0.7819503,-1.408538
Brazil,1985,Drama,9929135,15000000,-0.635931716666667,-0.003629291,0.3689256,0.04099353,0.4924504,-0.2582327,0.6846114,0.2279255,-0.07722549,-0.233046,0.7089053,-0.2077899,0.2829018,-0.4048721,0.8521732,-0.3398687,-0.09726565,-0.02036991,0.461901,0.8252134,0.05826965,0.007182043,-0.2200051,-0.366789,-0.2993252,-0.06927119,-0.5450184,-0.05303236,-0.9751402,-0.08355425,-0.200564,-0.3030629,0.4816291,-0.3874858,0.02675939,-1.046964,0.7889158,-0.5636686,0.3207165,-0.3801257,0.06711304,-0.1143279,-0.1399906,0.04939375,0.03757851
Bruce Almighty,2003,Comedy,242829261,81000000,0.648840661111111,0.04026319,0.1500207,-0.01460068,0.3566219,0.1601208,-0.7235398,0.2522242,-0.2077006,-0.2491206,-0.6906942,-0.4328849,0.0392833,0.3882121,-0.2824099,0.5083523,-0.1118765,-0.2782919,0.4025399,-0.09445869,0.5480168,-0.0635336,-0.05463272,0.5288304,-0.7093319,0.349007,0.7106793,-0.3033892,1.47562,-1.062769,1.63271,-2.092502,0.2277657,-0.490847,0.09746968,-0.6002124,1.434071,-3.326893,1.417556,-0.7721089,1.658832,-1.838726,0.6246828,-0.2081486,0.1955697
Charlie's Angels,2000,Action,125305545,90000000,-0.234243891666667,0.4794466,-1.426651,-0.1839015,0.06782398,-1.323568,-0.6025912,-0.2452531,-0.2482588,-1.128103,-0.5802142,-0.5961003,-0.8519669,-1.778504,0.05316696,-1.317812,0.2984643,-2.124818,0.557512,-3.376199,4.694786,-1.310827,0.2756657,-0.1739878,-0.7014245,0.7253264,-0.7939171,0.8174503,-0.02622129,-0.6359209,-1.12086,-0.1705263,-0.7669071,0.1808833,-0.1364135,-0.2923959,-0.1305405,-1.008262,0.4335419,-1.651518,0.7568738,-2.815875,-1.151632,-0.3158913,-0.2458881
