Movie Title,Year,Genre,Gross,Production Budget,orig ROI,ROI,,,,,,,,
5th Element,1997,Action,63820180,95000000,-0.630514747368421,-1.43641131205823,-0.8985666,30.85677,-0.9037588,-0.595548,2.922771,2.021716,1.63036,0.2185923
Ace Ventura Pet Detective,1994,Comedy,72217396,15000000,1.64797118666667,1.40488742385235,0.06059116,-1.051068,-0.7795228,-0.6256878,2.387286,1.687221,2.135639,-1.115993
American Gangster,2007,Thriller,130164645,100000000,-0.2840944525,-0.482158835808507,0.09368903,0.3177313,-0.6473493,2.682685,-1.415376,-6.34895,1.881769,0.3921503
Assassins,1995,Action,30303072,50000000,-0.666666208,-1.58496051557415,0.1276366,-68.72546,-2.845949,NA,1.398748,1.712961,-0.8480299,
AWalk to Remember,2002,Drama,41281092,11800000,0.924118694915254,0.944197798735693,-0.4185139,7.66485,-0.03435101,1.65486,-0.1188076,-1.505291,-0.4944863,0.2095757
Babel,2006,Drama,34302837,20000000,-0.0566719825,-0.084168577502864,-0.2356617,-1.315876,-1.940123,4.841647,-3.417388,-2.171651,-4.625076,2.029964
Batman and Robin,1997,Action,107325195,125000000,-0.527769142,-1.08243577710522,-0.03712982,-2.340416,0.5802165,-0.740977,-0.5415039,-0.6970061,-0.1985609,0.6164681
Bones,2001,Drama,7316658,16000000,-0.74848988125,-1.9913116512113,-0.5479572,-0.01337304,-1.906072,2.036736,-0.6893756,4.937452,1.913938,2.433488
Bourne Identity,2002,Action,121661683,60000000,0.115232094166667,0.157343984816861,-0.7394092,3.47698,2.851479,1.165816,0.7017404,0.6761492,-12.37893,-0.7940348
Brazil,1985,Drama,9929135,15000000,-0.635931716666667,-1.45771903240977,-0.1818898,0.7549117,1.373363,2.505009,-0.6802745,-0.2319424,-2.267785,0.5102664
Bruce Almighty,2003,Comedy,242829261,81000000,0.648840661111111,0.72145198790104,-0.01010215,1.473995,0.03847049,1.368045,0.7614236,-3.667898,-0.02154999,
