Movie Title,Gross,Production Budget,ROI,Clear premise,Familiar setting,Early exposition,Coincidence avoidance,Interconnected,Surprise,Anticipation,Flashback avoidance,Linear timeline,Clear motivation,Multidimensional hero,Strong nemesis,Sympathetic hero,Logical characters,Character growth,Important conflict,Multidimensional conflict,Conflict build-up,Conflict lock-in,Unambiguous resolution,Logical ending,Surprise ending
Collateral Damage,40077257,85000000,-0.740676572352941,4,3,4,3,3,4,4,4,3,1,3,4,3,4,2,3,2,3,4,3,4,3
Collateral Damage,40077257,85000000,-0.740676572352941,4,2,3,2,3,3,3,3,4,3,3,3,3,4,4,3,2,3,3,4,4,2
Collateral Damage,40077257,85000000,-0.740676572352941,4,3,4,2,3,3,2,3,3,4,2,4,4,4,1,4,1,4,4,4,2,2
Collateral Damage,40077257,85000000,-0.740676572352941,2,2,2,3,3,3,2,4,4,4,2,3,4,3,1,4,1,3,4,4,3,3
Collateral Damage,40077257,85000000,-0.740676572352941,3,2,3,3,3,3,4,4,4,4,3,4,4,3,3,4,2,3,3,3,3,2
Collateral Damage,40077257,85000000,-0.740676572352941,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4
Collateral Damage,40077257,85000000,-0.740676572352941,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,2,4
Collateral Damage,40077257,85000000,-0.740676572352941,3,2,2,3,3,2,3,4,4,4,3,4,4,4,4,4,1,3,3,4,4,2
Collateral Damage,40077257,85000000,-0.740676572352941,3,3,4,3,4,2,4,3,4,4,2,3,2,4,3,4,2,3,3,4,4,2
Collateral Damage,40077257,85000000,-0.740676572352941,2,2,2,3,3,4,4,4,4,4,1,4,4,4,1,4,2,3,4,4,3,4
Insomnia,67355513,46000000,-0.194662344565217,4,3,4,3,3,3,3,4,4,3,2,3,3,4,3,3,2,3,3,4,4,3
Insomnia,67355513,46000000,-0.194662344565217,3,3,3,3,4,2,4,4,4,4,3,4,3,4,2,4,2,4,3,3,4,3
Insomnia,67355513,46000000,-0.194662344565217,2,2,2,3,4,3,4,4,4,3,2,3,2,4,4,3,3,3,4,4,4,3
Insomnia,67355513,46000000,-0.194662344565217,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4
Insomnia,67355513,46000000,-0.194662344565217,3,1,3,3,3,4,4,3,4,3,3,2,1,2,2,3,2,4,4,2,2,3
Insomnia,67355513,46000000,-0.194662344565217,3,3,2,3,3,4,4,4,4,2,2,3,2,2,2,2,2,2,3,3,2,4
Insomnia,67355513,46000000,-0.194662344565217,3,2,2,2,2,4,4,4,4,3,4,2,1,2,3,4,3,3,3,1,3,4
Insomnia,67355513,46000000,-0.194662344565217,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,1,3,4,4,4,3
Insomnia,67355513,46000000,-0.194662344565217,2,2,3,1,3,4,3,4,4,2,4,2,1,3,4,3,3,3,3,4,3,3
Insomnia,67355513,46000000,-0.194662344565217,4,3,1,3,3,4,4,2,2,3,4,4,4,3,3,4,4,4,3,2,3,4
Manchurian Candidate,65955630,80000000,-0.54655504375,4,3,4,2,3,2,3,2,3,3,2,3,3,4,3,3,2,3,3,4,4,3
Manchurian Candidate,65955630,80000000,-0.54655504375,2,4,4,3,4,4,4,2,3,3,2,2,4,3,3,4,3,4,3,4,3,3
Manchurian Candidate,65955630,80000000,-0.54655504375,4,3,4,2,4,3,3,4,4,3,3,3,3,3,2,3,2,2,3,2,2,3
Manchurian Candidate,65955630,80000000,-0.54655504375,3,3,3,2,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3
Manchurian Candidate,65955630,80000000,-0.54655504375,4,2,4,3,3,3,4,2,4,4,4,2,3,4,2,4,2,4,4,4,4,4
Manchurian Candidate,65955630,80000000,-0.54655504375,3,4,2,2,3,4,3,2,4,3,3,2,2,4,3,4,4,3,2,2,3,2
Manchurian Candidate,65955630,80000000,-0.54655504375,4,4,4,3,4,4,4,2,2,3,3,4,3,4,3,4,3,4,3,3,3,4
Manchurian Candidate,65955630,80000000,-0.54655504375,2,2,2,3,3,3,4,3,3,1,2,2,3,3,3,3,2,3,2,3,3,2
Manchurian Candidate,65955630,80000000,-0.54655504375,1,2,4,1,3,3,3,1,1,4,4,4,4,3,4,4,4,4,3,1,1,4
Manchurian Candidate,65955630,80000000,-0.54655504375,3,3,3,2,4,4,4,2,3,4,3,3,3,4,2,4,3,4,4,4,4,3
Swordfish,69772969,102000000,-0.623773206372549,3,4,4,3,4,4,4,1,1,3,4,4,4,3,3,4,3,4,4,2,3,4
Swordfish,69772969,102000000,-0.623773206372549,3,4,3,3,3,2,3,2,2,4,3,4,3,4,3,3,3,3,4,3,4,2
Swordfish,69772969,102000000,-0.623773206372549,3,4,2,2,2,4,4,2,2,2,3,4,4,3,3,3,2,3,3,1,2,4
Swordfish,69772969,102000000,-0.623773206372549,3,3,4,4,3,3,4,3,4,3,3,3,2,3,3,3,2,4,3,3,3,3
