"Clear.premise","Familiar.setting","Early.exposition","Coincidence.avoidance","Interconnected","Surprise","Anticipation","Flashback.avoidance","Linear.timeline","Clear.motivation","Multidimensional.hero","Strong.nemesis","Sympathetic.hero","Logical.characters","Character.growth","Important.conflict","Multidimensional.conflict","Conflict.build.up","Conflict.lock.in","Unambiguous.resolution","Logical.ending","Surprise.ending","<leaf>"
"1",1,1,2,1,0,20,0,28,1,0,0,0,9,0,0,0,1,0,0,0,4,2,0
"2",4,16,6,5,1,14,3,18,2,3,18,7,21,0,1,3,2,0,5,4,4,1,2
"3",6,26,15,17,5,13,10,16,10,11,13,9,13,8,11,13,5,9,7,10,6,2,41
"4",19,28,13,23,15,12,36,13,12,9,23,18,14,12,17,11,15,10,13,7,5,10,135
"5",29,31,22,25,12,14,34,21,17,7,23,30,15,15,23,12,24,14,10,12,9,17,254
"6",31,41,22,15,12,15,28,28,18,13,14,25,17,11,27,8,20,12,16,6,14,20,419
"7",32,31,27,28,4,15,25,18,7,8,18,16,9,7,20,8,20,12,13,13,10,18,467
"8",23,21,18,17,18,12,15,14,9,8,13,14,6,10,9,4,13,6,4,13,9,15,447
"9",9,17,10,12,2,10,9,1,4,4,7,11,12,7,8,3,11,7,4,13,4,9,368
"10",7,8,2,8,4,2,1,4,5,4,5,3,7,5,5,2,1,2,1,4,0,7,261
"11",3,3,4,4,2,1,1,0,2,0,2,1,1,3,2,1,0,1,1,2,0,3,137
"12",1,2,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,4,56
"13",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,33
"14",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"15",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
